File,k,Ratio,Audio MSE,Audio PSNR,Audio SNR,Rate(kBps),Image Size,Status
fksr0_si487.wav,8,4:2:0,6791.81417,51.99,19.35,7.99,256x256 (4:2:0),Success
mcae0_sx187.wav,8,4:2:0,6682.75855,52.06,7.41,7.6,256x256 (4:2:0),Success
mrjm0_sx148.wav,8,4:2:0,6008.90309,52.52,18.56,7.29,256x256 (4:2:0),Success
mtlc0_sx127.wav,8,4:2:0,8399.58985,51.07,9.88,9.43,256x256 (4:2:0),Success
mdef0_sx33.wav,8,4:2:0,7572.88257,51.52,8.87,7.69,256x256 (4:2:0),Success
mgrt0_sx100.wav,8,4:2:0,5543.45984,52.87,10.47,5.39,256x256 (4:2:0),Success
fjwb1_si748.wav,8,4:2:0,3123.82701,55.36,19.87,3.57,256x256 (4:2:0),Success
mtpp0_sa1.wav,8,4:2:0,5488.49838,52.91,20.06,6.87,256x256 (4:2:0),Success
mdbb1_sx376.wav,8,4:2:0,3697.32529,54.63,11.87,3.87,256x256 (4:2:0),Success
mmrp0_sa1.wav,8,4:2:0,2733.75344,55.94,25.06,3.35,256x256 (4:2:0),Success
fpaf0_sx424.wav,8,4:2:0,6426.85914,52.23,12.64,7.34,256x256 (4:2:0),Success
fapb0_sx163.wav,8,4:2:0,7162.38811,51.76,8.54,7.88,256x256 (4:2:0),Success
msfv0_si1892.wav,8,4:2:0,3095.19647,55.4,13.64,3.3,256x256 (4:2:0),Success
mdks0_sx166.wav,8,4:2:0,3757.45226,54.56,14.02,4.36,256x256 (4:2:0),Success
mcdr0_sx74.wav,8,4:2:0,5550.37144,52.87,17.98,6.18,256x256 (4:2:0),Success
mrfl0_sx256.wav,8,4:2:0,6471.13665,52.2,18.35,8.02,256x256 (4:2:0),Success
mmdb0_si1358.wav,8,4:2:0,5958.43468,52.56,18.31,7.27,256x256 (4:2:0),Success
madd0_sx88.wav,8,4:2:0,4921.58777,53.39,17.35,5.61,256x256 (4:2:0),Success
fljg0_sa1.wav,8,4:2:0,3302.10129,55.12,20.63,4.26,256x256 (4:2:0),Success
mrlr0_si1196.wav,8,4:2:0,3141.74494,55.34,16.77,3.72,256x256 (4:2:0),Success
